Region,State,N,PrevUt,PrevTx,Pr_Pub_CSI,Pr_Pub_CSI0,Pr_Pub_CSI1,Pr_Asym,Pr_NotAware,Pr_NotCS,Pr_NotDet,Pop,CNR_pub,CNR_eng,TxI_pub,TxI_eng,TxSucc_pub,TxSucc_eng,TxDead_pub,TxDead_eng,TxLTFU_pub,TxLTFU_eng
Southern,Kerala,11628,119.19904643962849,99.33253869969042,0.5450643776824035,0.6226415094339622,0.6956521739130435,0.75,0.0958904109589041,0.019406392694063926,0.13470319634703196,34330000,4.4e-4,1.7e-4,0.98,0.9500000000000001,0.9175257731958762,0.9545454545454546,0.05154639175257732,0.03409090909090909,0.030927835051546393,0.011363636363636364
Central,Madhya Pradesh,17143,311.46710129498916,117.43841524237298,0.54375,0.6153846153846154,0.6875,0.8032786885245902,0.1292046144505161,0.02622950819672131,0.04128718882817243,83060000,0.00124,3.9000000000000005e-4,0.9500000000000001,0.96,0.9166666666666666,0.890625,0.03125,0.015625,0.052083333333333336,0.09375
Western,Maharashtra,30628,175.38785237038005,155.45741460101868,0.3818424566088118,0.6521739130434783,0.7692307692307693,0.5909090909090909,0.18795180722891563,0.035158817086527926,0.1859802847754655,124140000,7.6e-4,5.1e-4,0.9500000000000001,0.93,0.8913043478260869,0.9195402298850575,0.05434782608695652,0.022988505747126436,0.05434782608695652,0.05747126436781609
Northeastern,Manipur,15975,218.9591450140845,176.3837557057903,0.8562091503267973,1,1,0.6111111111111112,0.2083654092891968,0.06197074672825249,0.11855273287143955,3080000,3.6e-4,1.4000000000000001e-4,0.9500000000000001,0.98,0.9302325581395349,0.9294117647058824,0.03488372093023256,0.023529411764705882,0.03488372093023256,0.047058823529411764
Northeastern,Meghalaya,15975,218.9591450140845,176.3837557057903,0.8562091503267973,1,1,0.6111111111111112,0.2083654092891968,0.06197074672825249,0.11855273287143955,3590000,9.400000000000001e-4,1.9e-4,0.88,0.98,0.9186046511627907,0.8888888888888888,0.046511627906976744,0.018518518518518517,0.03488372093023256,0.09259259259259259
Northeastern,Nagaland,15975,218.9591450140845,176.3837557057903,0.8562091503267973,1,1,0.6111111111111112,0.2083654092891968,0.06197074672825249,0.11855273287143955,2070000,0.00136,3.3000000000000005e-4,0.98,1,0.925531914893617,0.8409090909090909,0.02127659574468085,0.06818181818181818,0.05319148936170213,0.09090909090909091
Eastern,Odisha,12216,246.7720145301244,55.7227129584152,0.5314685314685315,0.5833333333333334,0.5384615384615384,0.8064516129032258,0.1265339113821736,0.012785656550811965,0.05422881916378868,45840000,8.700000000000001e-4,1.1e-4,0.98,0.9400000000000001,0.9175257731958762,0.9425287356321839,0.05154639175257732,0.022988505747126436,0.030927835051546393,0.034482758620689655
Northern,Punjab,10134,235.75394058614566,325.564965571344,0.4321157822191592,0.6055045871559633,0.6,0.8095238095238095,0.103962195565249,0.011632133769538349,0.07488186114140312,29630000,0.0011300000000000001,3.8e-4,0.9500000000000001,0.9400000000000001,0.8947368421052632,0.8809523809523809,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.07142857142857142
Northern,Rajasthan,14432,356.94736924889133,225.4404437361419,0.4321157822191592,0.6055045871559633,0.6,0.49122807017543857,0.3167496849306847,0.025525615635439796,0.16649662925843686,78660000,0.0012000000000000001,5.200000000000001e-4,0.89,0.96,0.9213483146067416,0.8888888888888888,0.033707865168539325,0.013888888888888888,0.0449438202247191,0.09722222222222222
Southern,Tamil Nadu,22956,317.0448767903816,110.48533585119358,0.5450643776824035,0.6226415094339622,0.6956521739130435,0.4090909090909091,0.3764746703678001,0.039555863983344895,0.17487855655794585,80370000,6.600000000000001e-4,2e-4,0.97,0.9500000000000001,0.8947368421052632,0.9647058823529412,0.05263157894736842,0.011764705882352941,0.05263157894736842,0.023529411764705882
Southern,Telangana,13567,279.9245115943097,139.96225579715485,0.5450643776824035,0.6226415094339622,0.6956521739130435,0.4117647058823529,0.2875816993464052,0.02369281045751634,0.2769607843137255,37220000,0.00107,6.000000000000001e-4,0.97,0.98,0.9278350515463918,0.9680851063829787,0.041237113402061855,0.02127659574468085,0.030927835051546393,0.010638297872340425
Northern,Uttar Pradesh,37990,370.74914229534085,206.4931931771519,0.4321157822191592,0.6055045871559633,0.6,0.6139240506329114,0.22415032225158804,0.030405248759679135,0.13152037835582137,228780000,0.0010400000000000001,5.300000000000001e-4,0.93,0.96,0.9021739130434783,0.8552631578947368,0.043478260869565216,0.02631578947368421,0.05434782608695652,0.11842105263157894
Northern,Uttarakhand,7182,326.7973857142857,257.99793609022555,0.4321157822191592,0.6055045871559633,0.6,0.6842105263157895,0.16813364469193462,0.028022274115322432,0.11963355487695349,11470000,0.0012200000000000002,4.900000000000001e-4,0.96,0.91,0.9032258064516129,0.9375,0.043010752688172046,0.010416666666666666,0.053763440860215055,0.052083333333333336
Eastern,West Bengal,16881,172.75588745927377,131.0561904863456,0.5314685314685315,0.5833333333333334,0.5384615384615384,0.7586206896551724,0.16295135260652505,0.006908162080575875,0.0715197956577267,98960000,6.2e-4,1.7e-4,0.97,0.91,0.9052631578947369,0.9436619718309859,0.05263157894736842,0.028169014084507043,0.042105263157894736,0.028169014084507043
