State,Region,Year,Index,Observed
Gujarat,Western,2018,CNR_Eng,7.178033129383674e-4
Gujarat,Western,2018,CNR_Acf,6.199074764960453e-5
Gujarat,Western,2019,CNR_Pub,0.0015116874705605274
Gujarat,Western,2019,CNR_Eng,8.016662741403674e-4
Gujarat,Western,2019,CNR_Acf,2.941003297220914e-5
Gujarat,Western,2020,CNR_Pub,0.001100127791815515
Gujarat,Western,2020,CNR_Eng,5.611512880834132e-4
Gujarat,Western,2020,CNR_Acf,6.629200429845197e-5
Gujarat,Western,2021,CNR_Pub,0.0012920845990714736
Gujarat,Western,2021,CNR_Eng,7.428641027110678e-4
Gujarat,Western,2021,CNR_Acf,3.891786553562217e-5
Haryana,Northern,2018,CNR_Pub,0.0017605250123823675
Haryana,Northern,2018,CNR_Eng,5.461331635180075e-4
Haryana,Northern,2018,CNR_Acf,1.938724969928536e-5
Haryana,Northern,2019,CNR_Pub,0.0017876674107142857
Haryana,Northern,2019,CNR_Eng,7.8564453125e-4
Haryana,Northern,2019,CNR_Acf,7.498604910714286e-6
Haryana,Northern,2020,CNR_Pub,0.001557450906214534
Haryana,Northern,2020,CNR_Eng,6.258554871547959e-4
Haryana,Northern,2020,CNR_Acf,2.9782989992089968e-5
Haryana,Northern,2021,CNR_Pub,0.0015193840518264762
Haryana,Northern,2021,CNR_Eng,7.917104772241631e-4
Haryana,Northern,2021,CNR_Acf,3.2052369161889904e-5
Himachal_Pradesh,Northern,2018,CNR_Pub,0.0020424651868192474
Himachal_Pradesh,Northern,2018,CNR_Eng,1.8695712119123122e-4
Himachal_Pradesh,Northern,2018,CNR_Acf,4.343030470150283e-5
Himachal_Pradesh,Northern,2019,CNR_Pub,0.0019705479452054794
Himachal_Pradesh,Northern,2019,CNR_Eng,2.208219178082192e-4
Himachal_Pradesh,Northern,2019,CNR_Acf,1.9849315068493152e-4
Himachal_Pradesh,Northern,2020,CNR_Pub,0.0016908942425479787
Himachal_Pradesh,Northern,2020,CNR_Eng,8.847148495984756e-5
Himachal_Pradesh,Northern,2020,CNR_Acf,8.098543623247584e-5
Himachal_Pradesh,Northern,2021,CNR_Pub,0.0015856099540167703
Himachal_Pradesh,Northern,2021,CNR_Eng,2.0219096564782257e-4
Himachal_Pradesh,Northern,2021,CNR_Acf,1.7216662158506897e-4
Jammu_&_Kashmir,Northern,2018,CNR_Pub,8.793985191970079e-4
Jammu_&_Kashmir,Northern,2018,CNR_Eng,9.060377070452638e-5
Jammu_&_Kashmir,Northern,2018,CNR_Acf,1.4273719563392107e-5
Jammu_&_Kashmir,Northern,2019,CNR_Pub,8.159509202453987e-4
Jammu_&_Kashmir,Northern,2019,CNR_Eng,7.16503824888283e-5
Jammu_&_Kashmir,Northern,2019,CNR_Acf,1.0679391047489207e-5
Jammu_&_Kashmir,Northern,2020,CNR_Pub,6.111236377301766e-4
Jammu_&_Kashmir,Northern,2020,CNR_Eng,4.547162720781661e-5
Jammu_&_Kashmir,Northern,2020,CNR_Acf,1.4280345734686208e-5
Jammu_&_Kashmir,Northern,2021,CNR_Pub,6.538633651551313e-4
Jammu_&_Kashmir,Northern,2021,CNR_Eng,1.0202863961813842e-4
Jammu_&_Kashmir,Northern,2021,CNR_Acf,5.153639618138425e-5
Jharkhand,Eastern,2018,CNR_Pub,9.94575388537796e-4
Jharkhand,Eastern,2018,CNR_Eng,2.9086766660337953e-4
Jharkhand,Eastern,2018,CNR_Acf,2.9699747755567007e-5
Jharkhand,Eastern,2019,CNR_Pub,0.001062053845948186
Jharkhand,Eastern,2019,CNR_Eng,3.477261182258108e-4
Jharkhand,Eastern,2019,CNR_Acf,1.0432318263240917e-4
Jharkhand,Eastern,2020,CNR_Pub,7.676147296834225e-4
Jharkhand,Eastern,2020,CNR_Eng,3.9631494319529746e-4
Jharkhand,Eastern,2020,CNR_Acf,4.984579697920236e-5
Jharkhand,Eastern,2021,CNR_Pub,8.614540822957553e-4
Jharkhand,Eastern,2021,CNR_Eng,4.4274908372540355e-4
Jharkhand,Eastern,2021,CNR_Acf,5.211717917392321e-5
Karnataka,Southern,2018,CNR_Pub,0.0010065109153581003
Karnataka,Southern,2018,CNR_Eng,2.2117196476445806e-4
Karnataka,Southern,2018,CNR_Acf,4.530065109153581e-5
Karnataka,Southern,2019,CNR_Pub,0.0010223866986838505
Karnataka,Southern,2019,CNR_Eng,2.9774461229824614e-4
Karnataka,Southern,2019,CNR_Acf,7.357366485303505e-5
Karnataka,Southern,2020,CNR_Pub,7.421820813606345e-4
Karnataka,Southern,2020,CNR_Eng,1.9346521516238957e-4
Karnataka,Southern,2020,CNR_Acf,4.4314103917252193e-5
Karnataka,Southern,2021,CNR_Pub,7.814047423143092e-4
Karnataka,Southern,2021,CNR_Eng,2.9191412970304436e-4
Karnataka,Southern,2021,CNR_Acf,1.0307427631086843e-5
Kerala,Southern,2018,CNR_Pub,5.912772229058753e-4
Kerala,Southern,2018,CNR_Eng,1.0208053115073118e-4
Kerala,Southern,2018,CNR_Acf,9.415333543198924e-6
Kerala,Southern,2019,CNR_Pub,5.888683274021352e-4
